,Tweet_id,User,Content,Like_Count,Quote_Count,Reply_Count,Url,Date,Chenxi_Sentiment,Zong_Sentiment,Sun_Sentiment
0,1.64E+18,SamuraiApology,how's the world economy doing,11,0,9,https://twitter.com/SamuraiApology/status/1637604642040213504,2023-03-19 23:59:06+00:00,2,2,2
1,1.64E+18,ShankHu15,"@FirstSquawk ONLY Western World economy WILL suffer.
Non-Western World has NEVER spent beyond their means. https://t.co/kAJvh95hSb",2,0,0,https://twitter.com/ShankHu15/status/1637604129207103490,2023-03-19 23:57:04+00:00,0,0,0
2,1.64E+18,KarynSovich,"To those complaining about an exhausting work week, 

Be grateful to HAVE a job when the world economy is going down the drain, we're in a crypto bear market and millions are unemployed with their savings being inflated away!",1,0,0,https://twitter.com/KarynSovich/status/1637603665392304128,2023-03-19 23:55:13+00:00,0,0,0
3,1.64E+18,Bent43303160,"@twobluecats @JordanInHouston @academic_la @AOC @BernieSanders @IlhanMN I said the same thing and he did not support; he expressed solidarity with millions of people struggling in a world economy that left them out &amp; that they look for answers and help.

https://t.co/CrW0W0yDfx",1,0,0,https://twitter.com/Bent43303160/status/1637603422126977025,2023-03-19 23:54:15+00:00,0,0,0
4,1.64E+18,hany,"@adjusted_ARR @wavylee1 @zachweinberg I don't know if the dollar will lose its status as a reserve currency, but history would suggest that the world economy does not 'functionally collapse' when the reserve currency changes.

They last about 100 years. It's not the end of the world when they switch.",0,0,1,https://twitter.com/hany/status/1637601884855840773,2023-03-19 23:48:09+00:00,0,0,0
5,1.64E+18,Paul08113166,"@ChuckVacuumBeth @benmyfriend1 @JStein_WaPo @jdcmedlock I?? say the  probability of balaji winning is 0%&lt;x&lt;1%. At least for now. 

We didn?? think the world economy would shut down but here we are.",1,0,1,https://twitter.com/Paul08113166/status/1637601099036127235,2023-03-19 23:45:01+00:00,1,1,1
6,1.64E+18,Sleestackblues,"@BradySutton2 @joemulvihilljr @Stonekettle News flash the hall monitors have lost advantage of the world economy..
And hall monitors don't build anything",0,0,0,https://twitter.com/Sleestackblues/status/1637600931062902784,2023-03-19 23:44:21+00:00,0,0,0
7,1.64E+18,garatupan,"@Gugo907 I see difficult times for analysts. Western demand is poised to disappoint in the short, medium and long term but western economies are a shrinking portion of the world economy and analysts have not the tools to value this epocal change. They will be surprised one way or another.",0,0,0,https://twitter.com/garatupan/status/1637600472075849747,2023-03-19 23:42:32+00:00,0,0,0
8,1.64E+18,FedProm,@Reuters T-Bills are destroying the world Economy. ??,0,0,0,https://twitter.com/FedProm/status/1637600401494007810,2023-03-19 23:42:15+00:00,0,0,0
9,1.64E+18,Chris09402307,"@realmattcpa @financialjuice the world is bailing us out right now, but the fact that they're doing it makes us exposed to the liability of bailing out the world economy in the future.",0,0,0,https://twitter.com/Chris09402307/status/1637599930721136641,2023-03-19 23:40:23+00:00,0,0,0
